question,answer
ヘルプデスクはどこにありますか？,37階; 2番目の床室221（エレベーターを出て右に2つめ）。
ヘルプデスクは何時に開きますか？,営業時間は午前11時から午後2時までです。
ラップトップの修理にどれくらい時間がかかりますか？,通常、ラップトップの修理には2時間かかります。
画面を修理するのにどれくらい時間がかかりますか？,ラップトップ画面の修理は通常4時間かかります。
バッテリーを固定するのにどれくらい時間がかかiDりますか？,ラップトップバッテリーの修理は通常約1時間です。
オーディオの問題を修理するのにどれくらい時間がかかりますか？,ラップトップオーディオの修理は通常15〜30分かかります。
近くにカフェはありますか？,3階にあり、毎日午前8時から午後4時まで営業しています。
ラップトップの修理のために何を持っていく必要がありますか？,ラップトップの修理については、従業員のバッジ、ラップトップ、VPN FOBをご持参ください。
画面修理のために何を持ってくる必要がありますか？,ラップトップ画面の修理については、従業員のバッジ、ラップトップ、VPN FOBをご持参ください。
バッテリーの修理のために何を持っていく必要がありますか？,ラップトップのバッテリーの修理については、従業員のバッジ、ラップトップ、充電器ケーブル、アダプター、およびVPN FOBをご持参ください。
オーディオの修理のために何を持ってくる必要がありますか？,ラップトップオーディオの修理については、従業員のバッジ、ラップトップ、ヘッドフォン/Earpods、およびVPN FOBをご持参ください。
新しいラップトップのために何を持っていく必要がありますか？,新しいラップトップについては、従業員のバッジとVPN FOBをご持参ください。
ラップトップが修理されている間にドキュメントにアクセスするにはどうすればよいですか？,Amazon WorkDocsを使用してドキュメントにアクセスできます。
